time/ s,O=C(CO)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C(CO)C(O)(CO)CO/ M,O=C[C@H](O)C(O)(CO)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C([C@H](O)CO)C(O)(CO)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO/ M
4598.88,0.006518772,0.016193986,7.71E-05,9.58E-05,0.00305229,0.000165856,0.000144126,0.002761283,0.000748184,5.38E-05,0.003797541,0.002312682,7.95E-05,0.001082099,4.24E-05,8.53E-05,0.000226646,0.001660374,0.001269105,0.000266685,0.000115148,0.000103252,9.88E-05,2.56E-05,1.76E-05
4629,0.004283029,0.016964081,8.21E-05,7.80E-05,0.003681041,0.000187538,0.000105745,0.001957748,0.002245824,7.42E-05,0.00277277,0.004497301,0.000140333,0.004197487,0,2.53E-05,0,0.000984069,0.001535064,0.000241465,8.02E-05,0,9.85E-05,0,0
4659.12,0.004852773,0.016507828,8.06E-05,8.55E-05,0.00224278,0.000163194,0.000102362,0.002945579,0.000638728,5.16E-05,0.003695377,0.00221411,9.33E-05,0.00096337,7.37E-05,0,0.000346988,0.001559201,0.001550629,0.000267324,0.000113927,5.49E-05,0.00010005,2.94E-05,2.41E-05
4692,0.001886817,0.016644869,5.41E-05,9.57E-05,0.002027583,0.000524352,0.000112552,0.00214943,0.001519013,5.12E-05,0.002950722,0.002652279,0.000104961,0.002315242,0.000142687,5.31E-05,6.76E-05,0.001120237,0.001706928,0.000735028,0.00010501,9.65E-05,0.000349049,1.71E-05,2.21E-05
4722.12,0.005009892,0.017955805,9.18E-05,0.000124416,0.00576014,0.000217744,6.73E-05,0.001774004,0.002079143,4.30E-05,0.002722325,0.003831309,8.30E-05,0.003383508,0,2.55E-05,0,0.001006076,0.001286528,0.000348762,0.000103873,9.63E-05,0.000256762,0,0
4752.24,0.002083499,0.01649242,8.74E-05,0.000102049,0.001887927,0.000353808,0.000135359,0.002206113,0.001228524,5.80E-05,0.003370344,0.002590885,0.000102544,0.001842698,7.15E-05,4.28E-05,0.000109833,0.001549215,0.001370421,0.00042046,0.000150565,0.000109582,0.000198276,2.47E-05,1.96E-05
4782.36,0.016085919,0.014667739,0.000237451,0.000132959,0.005681155,0.000130282,9.13E-05,0.001683714,0.000926341,7.32E-05,0.002427027,0.002572259,9.18E-05,0.001882564,1.03E-05,4.40E-05,2.96E-05,0.000900755,0.00074059,0.000153292,2.77E-05,2.89E-05,2.51E-05,0,0
4812.48,0.003056516,0.017808231,7.36E-05,8.40E-05,0.003480795,0.000307007,9.77E-05,0.002175831,0.002375327,7.13E-05,0.002982835,0.004517601,9.36E-05,0.004344708,0,4.58E-05,0,0.00107945,0.001719451,0.000468304,0.000105031,0,0.000205028,0,0
4842.6,0.005120707,0.017401156,0.000100063,8.12E-05,0.00436704,0.000164487,6.01E-05,0.001975901,0.002267854,7.84E-05,0.002745641,0.004619188,8.47E-05,0.004242026,0,2.98E-05,0,0.001019093,0.00138063,0.0002322,7.65E-05,0,9.05E-05,0,0
4872.72,0.003426026,0.016237682,0.000169561,0.00013457,0.003607333,0.000116528,0.000123264,0.002031365,0.00163635,9.85E-05,0.003042624,0.003559268,0.00010219,0.002694148,0,2.79E-05,0,0.000853596,0.001046207,0.000171708,6.15E-05,7.80E-05,6.18E-05,0,0
4902.84,0.017144062,0.014622904,0.000307023,0.000123475,0.006116855,0.000114143,6.19E-05,0.001708126,0.00094725,8.86E-05,0.002450005,0.002751901,9.67E-05,0.002098416,0,4.66E-05,1.04E-05,0.000662528,0.000745194,9.18E-05,2.59E-05,2.50E-05,3.15E-05,0,0
4932.96,0.014961592,0.014511744,0.000242862,0.000111992,0.005596539,0.000257288,7.83E-05,0.001816328,0.001095621,8.79E-05,0.002457537,0.002891674,0.000110579,0.002144592,3.81E-05,5.54E-05,4.59E-05,0.000700307,0.00083005,0.000161034,3.12E-05,3.05E-05,6.01E-05,0,0
4963.08,0.004808425,0.01762726,9.51E-05,0.000158787,0.005172248,0.000141811,0.000107305,0.001800566,0.002011194,4.52E-05,0.002936477,0.003961254,7.97E-05,0.003355837,0,4.42E-05,0,0.001018125,0.001346613,0.00019377,0.000109583,0,9.07E-05,0,0
4993.2,0.007729328,0.015907559,8.11E-05,9.75E-05,0.003812769,0.000121696,0.00017066,0.002301673,0.000978544,5.52E-05,0.003586447,0.002825966,5.67E-05,0.001466981,4.01E-05,7.44E-05,5.27E-05,0.001550499,0.001147648,0.000175397,6.98E-05,3.76E-05,6.01E-05,1.36E-05,0
5023.32,0.0035037,0.017657397,5.21E-05,0.00010079,0.003104391,0.000393944,0.000143874,0.002191057,0.002066928,5.91E-05,0.003198031,0.003714222,9.47E-05,0.003628623,0,3.42E-05,3.85E-05,0.001113884,0.001719029,0.000614603,0.000116391,0,0.0002964,6.53E-05,0
5053.44,0.002079458,0.015894607,3.02E-05,9.34E-05,0.001753023,0.000417767,0.000380928,0.002139575,0.000873662,8.56E-05,0.003341055,0.001645487,5.82E-05,0.001311468,8.51E-05,2.91E-05,7.66E-05,0.002419325,0.001070045,0.000592923,0.000188843,0.00015901,0.000309162,2.53E-05,2.29E-05
5083.56,0.005177769,0.016106102,4.09E-05,9.43E-05,0.002410979,0.000100159,0.000250288,0.002307318,0.000851361,4.94E-05,0.004018126,0.002577186,3.88E-05,0.000976133,3.22E-05,9.34E-05,0.000158859,0.002197075,0.001034074,0.000157678,0.000103106,0,6.44E-05,3.31E-05,1.32E-05
5113.68,0.01602189,0.014853681,0.000206206,0.000124605,0.005575164,0.00013894,7.38E-05,0.001507324,0.000869475,5.71E-05,0.00234371,0.002268312,8.02E-05,0.001662535,0,3.13E-05,2.29E-05,0.001075004,0.000740129,9.89E-05,3.74E-05,3.46E-05,3.94E-05,4.31E-06,0
5143.8,0.015569725,0.014673308,0.000227727,0.000114062,0.005630252,0.000202147,7.14E-05,0.001521646,0.000945219,6.98E-05,0.002226649,0.002441935,9.34E-05,0.001787554,1.13E-05,3.05E-05,0,0.000772946,0.000780196,0.00020044,3.02E-05,2.96E-05,4.76E-05,0,0
5173.92,0.004354335,0.017066627,8.06E-05,0.000131814,0.00513172,0.000312378,7.21E-05,0.001753669,0.002026545,4.10E-05,0.002718971,0.003524563,7.58E-05,0.00304865,0,3.23E-05,0,0.001158015,0.001287196,0.000372663,0.000101807,0,0.000163229,0,0
5204.04,0.006420349,0.015766556,6.06E-05,8.79E-05,0.003042436,9.29E-05,0.000200504,0.002297505,0.000942488,5.33E-05,0.003718879,0.002777881,4.87E-05,0.001264128,2.44E-05,4.47E-05,7.52E-05,0.001825005,0.001193783,0.000195877,9.57E-05,8.06E-05,6.75E-05,1.38E-05,0
5234.16,0.013715899,0.015298467,0.000197901,0.000126557,0.005100986,0.000225923,0.00010294,0.001812327,0.000948127,6.10E-05,0.002704662,0.002396158,9.15E-05,0.001651832,3.72E-05,5.53E-05,3.88E-05,0.00121138,0.000984727,0.000190431,6.31E-05,5.87E-05,7.34E-05,1.10E-05,0
5264.28,0.00291988,0.017346985,3.83E-05,0.00011524,0.002191272,0.000546281,0.000123953,0.002301862,0.001811146,5.94E-05,0.002923351,0.003374567,0.000199346,0.003388463,5.16E-05,4.24E-05,5.12E-05,0.001527838,0.00193347,0.001090071,0.000158654,0,0.000553312,4.97E-05,0
5294.4,0.002381917,0.017056113,7.69E-05,0.000112633,0.002936217,0.000416899,0.000204315,0.002184762,0.001662073,5.35E-05,0.00332226,0.002933598,0.000101053,0.002513252,6.20E-05,4.01E-05,5.59E-05,0.001361309,0.001541115,0.000535217,0.000194427,0.000128789,0.000254437,1.94E-05,3.56E-06
5324.52,0.00408682,0.018131246,9.15E-05,0.000151989,0.004739209,0.00023023,8.97E-05,0.001923164,0.002092662,4.72E-05,0.003084068,0.003880482,8.41E-05,0.003385707,0,2.90E-05,0,0.00132217,0.001495045,0.000344653,0.000148153,0,0.000164892,0,0
5354.64,0.00464716,0.017144955,9.72E-05,8.20E-05,0.004229021,0.000165081,6.95E-05,0.001887594,0.002318658,8.01E-05,0.002653972,0.004623114,8.50E-05,0.004277109,0,2.87E-05,0,0.001028946,0.001347242,0.000201471,7.42E-05,0,7.95E-05,0,0
